"seed","mt_time","mef_time","mt_miscl","mef_miscl","mt_fe","mef_fe","config"
52,0.0980000000272412,943.448999999993,0,0.533333333333333,0.951150574560199,0.600424688889127,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
53,0.101000000024214,2900.101,0,0.4,0.971027897877468,0.717823667927867,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
54,0.1019999999844,2386.77099999998,0,0.466666666666667,0.970037677536784,0.830026207117741,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
55,0.100999999995111,3266.701,0,0.533333333333333,0.966651330922112,0.703650222814765,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
56,0.100000000005821,2536.23899999997,0,0.6,0.969513500711232,0.846962837005091,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
57,0.0969999999797437,3543.80599999998,0,0.4,0.973339778076721,0.939606316998541,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
58,0.311000000016065,3870.552,0,0.4,0.968874854013329,0.898444799455712,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
59,0.0950000000011642,2401.91700000002,0,0.6,0.982443091002575,0.636004793837803,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
60,0.111999999993714,1351.084,0,0.533333333333333,0.9767904261627,0.91884765480829,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
61,0.0979999999981374,2486.37099999998,0,0.466666666666667,0.969042087214827,0.759737622196445,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
62,0.115999999979977,2183.58100000001,0,0.6,0.969241286411795,0.76868600840421,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
63,0.103999999992084,2971.69399999999,0,0.533333333333333,0.971091000351163,0.706307240446015,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
64,0.099000000016531,1638.82400000002,0,0.4,0.978897787173358,0.652746420384382,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
65,0.0940000000118744,4425.23499999999,0,0.6,0.949382410918542,0.728796023103602,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
66,0.0910000000149012,4284.14199999999,0,0.466666666666667,0.972590667471229,0.741744566914825,"CLUSTERED/visit|jit=0.02|N=15|M=3|P=24|R=3|NT=8|noise=1|off=0.05|lam=8+6+4|mef=1000/slow/TRUE"
